Date,Forecasted_Close
2025-06-06,3.5645337
2025-06-09,3.5676882
2025-06-10,3.5175192
2025-06-11,3.4671695
2025-06-12,3.398916
2025-06-13,3.3351452
2025-06-16,3.2747135
2025-06-17,3.2115157
2025-06-18,3.1527362
2025-06-19,3.098973
2025-06-20,3.048845
2025-06-23,2.9920807
2025-06-24,2.9312148
2025-06-25,2.8808098
2025-06-26,2.8368254
2025-06-27,2.798412
2025-06-30,2.7638829
2025-07-01,2.720675
2025-07-02,2.688204
2025-07-03,2.6658185
2025-07-04,2.6505167
2025-07-07,2.637804
2025-07-08,2.611693
2025-07-09,2.5918465
2025-07-10,2.5742557
2025-07-11,2.5646558
2025-07-14,2.5645576
2025-07-15,2.557854
2025-07-16,2.5530496
2025-07-17,2.5505586
