ds,yhat,y
2025-01-28,3.254567636565115,3.470999956130981
2025-01-29,3.267595049541608,3.5350000858306885
2025-01-30,3.2699082778594715,3.046999931335449
2025-01-31,3.2680484390299283,3.0439999103546143
2025-02-03,3.220238472568945,3.351999998092652
2025-02-04,3.1966166087543684,3.253000020980835
2025-02-05,3.203431169957041,3.359999895095825
2025-02-06,3.1943001935260886,3.407999992370605
2025-02-07,3.181045314228708,3.309000015258789
2025-02-10,3.1574346093711863,3.444000005722046
2025-02-11,3.155497486066446,3.5190000534057617
2025-02-12,3.182060333783937,3.565000057220459
2025-02-13,3.190787980483775,3.628000020980835
2025-02-14,3.197666418915672,3.724999904632568
2025-02-18,3.2187359041609938,4.006999969482422
2025-02-19,3.225160986898761,4.28000020980835
2025-02-20,3.2143097055728047,4.151999950408936
2025-02-21,3.215284750435827,4.234000205993652
2025-02-24,3.2983652708984663,3.99399995803833
2025-02-25,3.297444273807756,4.173999786376953
2025-02-26,3.302940631095678,3.9059998989105225
2025-02-27,3.2863515217470347,3.934000015258789
2025-02-28,3.2815744522600987,3.8340001106262207
2025-03-03,3.3429227864766102,4.122000217437744
2025-03-04,3.33211040133011,4.349999904632568
2025-03-05,3.3296580261138167,4.449999809265137
2025-03-06,3.305462545135837,4.302000045776367
2025-03-07,3.2894469526413945,4.39900016784668
2025-03-10,3.293467941109535,4.491000175476074
2025-03-11,3.2758062096546605,4.453000068664551
2025-03-12,3.279331389859476,4.084000110626221
2025-03-13,3.268208386702422,4.111000061035156
2025-03-14,3.2657211913304285,4.104000091552734
2025-03-17,3.3127198089299257,4.01800012588501
2025-03-18,3.315940111196014,4.052000045776367
2025-03-19,3.3346735789455004,4.247000217437744
2025-03-20,3.3237402603878556,3.974999904632568
2025-03-21,3.305990868406472,3.9800000190734863
2025-03-24,3.3308458742410516,3.9140000343322754
2025-03-25,3.3593824634739273,3.839999914169312
2025-03-26,3.4087746732975743,3.861000061035156
2025-03-27,3.421688230095544,3.950000047683716
2025-03-28,3.416863785828286,4.065000057220459
2025-03-31,3.456083031570888,4.11899995803833
2025-04-01,3.4884465149976904,3.950999975204468
2025-04-02,3.5389398058069292,4.054999828338623
2025-04-03,3.5504200876438508,4.138000011444092
2025-04-04,3.544345729323379,3.836999893188477
2025-04-07,3.5706446317910383,3.6549999713897705
2025-04-08,3.5854964916631893,3.4649999141693115
2025-04-09,3.6168569476182397,3.815999984741211
2025-04-10,3.6159453211782058,3.556999921798706
2025-04-11,3.6096146821709616,3.5269999504089355
2025-04-14,3.6675331608073667,3.325000047683716
2025-04-15,3.6901410863643798,3.3289999961853027
2025-04-16,3.7323185748871097,3.246999979019165
2025-04-17,3.7463519377385945,3.244999885559082
2025-04-21,3.768651046022345,3.0160000324249268
2025-04-22,3.765380999904862,3.006999969482422
2025-04-23,3.798417159713927,3.0220000743865967
2025-04-24,3.823548434040308,2.930000066757202
2025-04-25,3.8539130110751896,2.937000036239624
