Date,Forecasted_Close
2025-06-06,3.4198458
2025-06-09,3.3235993
2025-06-10,3.291702
2025-06-11,3.28442
2025-06-12,3.2998114
2025-06-13,3.3272371
2025-06-16,3.3530304
2025-06-17,3.3689413
2025-06-18,3.3761585
2025-06-19,3.3851428
2025-06-20,3.4018517
2025-06-23,3.4167473
2025-06-24,3.4310362
2025-06-25,3.41855
2025-06-26,3.4152553
2025-06-27,3.4478512
2025-06-30,3.4788866
2025-07-01,3.4566197
2025-07-02,3.4218125
2025-07-03,3.3907917
2025-07-04,3.3675652
2025-07-07,3.35324
2025-07-08,3.3128161
2025-07-09,3.2510042
2025-07-10,3.1884015
2025-07-11,3.1233187
2025-07-14,3.0547986
2025-07-15,3.0005562
2025-07-16,2.9511683
2025-07-17,2.9168057
