Date,Close,Technical_Strength,Technical_Strength_Signal,Inventory_Bcf,Hist_Vol,Inventory_Bcf_lag3,Hdd_ma30,Inventory_ma30,Hdd_cumsum,Inventory_cumsum,Volume_ma30,Volume_cumsum
2025-06-06,0,0.32782799044358574,0.04876961149176591,2338.7969810015466,0.6843517844105762,2598.0,4.6141358648082145,2345.526566033385,48783.42407594425,10742245.196981002,150428.33690511368,549545484.1071534
2025-06-09,0,0.319732771269487,0.05117054879703424,2359.9013748056955,0.6713698159564738,2598.0,4.451664288214962,2356.1566118602414,48784.54992864645,10744605.098355807,155268.84163278207,549749514.2489835
2025-06-10,0,0.3281115587620768,0.05319555512427077,2366.6382952218028,0.6451775905381151,2598.0,4.248828968719099,2366.3178883676346,48785.46486906157,10746971.73665103,154455.26014969865,549954579.8044909
2025-06-11,0,0.3315806492038244,0.057260195707890434,2375.470261579174,0.7055549531039681,2338.7969810015466,4.106447361507829,2376.080230420274,48786.19342084524,10749347.206912609,156089.53265637206,550160172.9796911
2025-06-12,0,0.326642879982456,0.06171603681661238,2386.191316655485,0.7375061606550556,2359.9013748056955,3.8963375062371646,2385.506607642123,48786.890125187114,10751733.398229264,158125.1940910765,550367204.8227323
2025-06-13,0,0.31611705681695107,0.06473024245703696,2396.751305327529,0.7126150353398696,2366.6382952218028,3.7240847869607725,2394.591651153041,48787.72254360883,10754130.14953459,159786.28781298306,550576677.6343895
2025-06-16,0,0.30722797844648825,0.06664787072110413,2412.6944135133226,0.7127188484402582,2375.470261579174,3.5879904978801735,2403.514798270152,48788.639714936406,10756542.843948105,162085.40365875902,550786605.1097628
2025-06-17,0,0.3124454276284688,0.07265837191159202,2417.425821010889,0.7098299200345611,2386.191316655485,3.3469697035488917,2411.862325637181,48789.40909110647,10758960.269769115,163596.408360023,550993252.2508007
2025-06-18,0,0.3130053922428352,0.08068121774061508,2425.3928227532733,0.6888661929172167,2396.751305327529,3.1729862329899845,2419.7420863956236,48790.1895869897,10761385.662591869,163680.1290129411,551196618.8703883
2025-06-19,0,0.30553150188664996,0.08809706659657249,2435.6803807216393,0.6707654573508863,2412.6944135133226,3.0396160502292284,2427.2314324196786,48791.18848150688,10763821.34297259,164950.8087611768,551397105.2628353
2025-06-20,0,0.29151677333643833,0.09480331586098498,2445.532427049892,0.6739163372198697,2417.425821010889,2.9153977177948422,2434.3158466546747,48792.46193153384,10766266.87539964,166231.39638469976,551594268.891541
2025-06-23,0,0.259006424883204,0.1020814032827332,2461.634987714564,0.648516943925334,2425.3928227532733,2.7082661205711136,2441.203679578494,48793.24798361713,10768728.510387355,166304.88663133184,551771447.5989399
2025-06-24,0,0.25938067571624723,0.10925711445827653,2468.01496541756,0.6687458907700073,2435.6803807216393,2.6221484644173523,2447.504178425746,48793.66445393252,10771196.525352772,166493.3117050303,551940831.3511509
2025-06-25,0,0.26166221272831147,0.11878453984335095,2477.0094470199683,0.6663349074623427,2445.532427049892,2.5294343624382765,2453.3044933264114,48793.88303087315,10773673.534799792,167579.13849220783,552103421.1547662
2025-06-26,0,0.2614101462592585,0.12805836629672096,2487.0972566554456,0.6403297458446979,2461.634987714564,2.4347839055370333,2458.6410685482597,48794.04351716611,10776160.632056449,168799.587424565,552259981.6227369
2025-06-27,0,0.2557246886624977,0.13692906712773112,2496.2230289024005,0.6444278882993079,2468.01496541756,2.371183520284437,2463.4818361783396,48794.13550560853,10778656.85508535,168737.74503975612,552410779.3511927
2025-06-30,0,0.22525104053197778,0.14450328367995569,2517.293839759642,0.6414550325993098,2477.0094470199683,2.29135342655296,2468.224964170328,48793.74060279659,10781174.14892511,168727.10765115524,552551794.2295346
2025-07-01,0,0.2262133297169592,0.15212258645803786,2525.8202591009763,0.6176431809040739,2487.0972566554456,2.082881693931712,2472.578972807027,48793.48645081795,10783699.96918421,167397.9545856187,552694824.6375686
2025-07-02,0,0.23553178381340306,0.1597582536753837,2535.035959693284,0.6659524266767828,2496.2230289024005,1.8178104185488635,2476.5668381301366,48793.53431255647,10786235.005143903,164595.47413865637,552841521.2241597
2025-07-03,0,0.2478571717175104,0.1674358908938007,2543.80547630965,0.7673508627600271,2517.293839759642,1.5615610211813675,2480.173687340458,48793.84683063544,10788778.810620213,165084.88974619235,552991936.6923858
2025-07-04,0,0.255589083900981,0.17518970057752078,2551.593716713199,0.7407270889597474,2525.8202591009763,1.3075844422205483,2483.366811230898,48794.22753326662,10791330.404336927,167134.6668587526,553145418.0057626
2025-07-07,0,0.23202319851296416,0.18231925550258418,2571.7444921833235,0.7276356525908098,2535.035959693284,1.0410670523833365,2486.5582943036757,48794.2320115715,10793902.14882911,170631.3897119458,553310916.6913583
2025-07-08,0,0.22709417737555815,0.18707081178957083,2576.7400299297938,0.7073430280167002,2543.80547630965,0.907977652775589,2488.8996286346683,48794.239329583266,10796478.88885904,174455.9805405928,553481549.4162178
2025-07-09,0,0.23236155329398958,0.19193802588844572,2580.331029657715,0.6847569586515899,2551.593716713199,0.7744909279740539,2490.3439962899256,48794.23472783922,10799059.219888698,173458.22115740913,553655875.6347222
2025-07-10,0,0.24457665819616717,0.19787548548799108,2583.5683572608796,0.706851575499134,2571.7444921833235,0.6709053043609028,2490.8796081986216,48794.127159130825,10801642.78824596,173303.82311526136,553831905.6934578
2025-07-11,0,0.25627881301398986,0.20237158000708802,2588.0973180533456,0.7969069769479857,2576.7400299297938,0.6291812406246144,2490.5495188003997,48793.87543721874,10804230.885564012,174808.90510087233,554008603.1530262
2025-07-14,0,0.25604574545736736,0.20425474047556114,2607.526332953352,0.7708935940348192,2580.331029657715,0.5319356395048391,2490.867063232178,48793.958069185144,10806838.411896965,174281.17635269152,554192748.2905807
2025-07-15,0,0.2574587772031788,0.2061658620108231,2609.6086810941842,0.8008277443702342,2583.5683572608796,0.47442993941630524,2491.254019268651,48794.23289818249,10809448.02057806,175858.37324318397,554379474.1972955
2025-07-16,0,0.2667358060193585,0.20824426484765038,2608.775377099481,0.7695199934774308,2588.0973180533456,0.4510140900837311,2491.6131985053003,48794.53042270251,10812056.795955159,177899.02279722024,554566786.6839166
